N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
63,현대중공업지주,"70,800",200,-0.28%,"1,000","55,927","78,993",17.26,"150,400",-24.73,-8.12,
64,한국금융지주,"98,700","1,200",-1.20%,"5,000","55,002","55,726",32.65,"347,138",4.41,16.27,
65,LG이노텍,"227,500","1,500",-0.66%,"5,000","53,843","23,667",31.37,"96,533",13.23,10.20,
66,아모레G,"64,100",100,+0.16%,500,"52,856","82,458",17.81,"200,194",125.69,0.31,
67,두산밥캣,"50,600","2,500",+5.20%,500,"50,726","100,249",25.81,"526,044",15.40,6.15,
68,오리온,"122,000","2,000",+1.67%,500,"48,234","39,536",38.99,"147,368",18.13,15.50,
69,삼성엔지니어링,"24,150",200,+0.84%,"5,000","47,334","196,000",29.94,"2,767,491",16.72,16.75,
70,맥쿼리인프라,"12,350",50,+0.41%,0,"45,966","372,192",14.90,"1,235,374",N/A,N/A,
71,한진칼,"68,000",100,-0.15%,"2,500","45,291","66,605",15.11,"108,125",-55.37,-19.55,
72,유한양행,"64,400",800,-1.23%,"1,000","45,063","69,973",18.68,"194,076",46.97,11.06,
73,이마트,"159,500","1,000",-0.62%,"5,000","44,462","27,876",32.13,"90,566",11.00,4.05,
74,팬오션,"8,190",160,-1.92%,"1,000","43,781","534,570",11.09,"9,446,397",34.85,3.25,
75,GS,"47,000",550,+1.18%,"5,000","43,670","92,915",19.49,"291,918",6.90,-2.82,
76,삼성중공업,"6,900",80,-1.15%,"5,000","43,470","630,000",14.46,"5,646,597",-2.43,-33.06,
77,한미약품,"350,500","27,000",-7.15%,"2,500","42,334","12,078",13.91,"245,568",180.39,1.65,
78,쌍용C&E,"8,250",50,+0.61%,100,"41,568","503,860",3.38,"951,302",30.11,7.92,
79,현대차2우B,"113,500",500,-0.44%,"5,000","41,411","36,485",61.26,"52,649",13.74,N/A,
80,CJ대한통운,"181,000","1,500",+0.84%,"5,000","41,290","22,812",22.99,"27,865",34.39,3.89,
81,롯데지주,"39,350",50,+0.13%,200,"41,282","104,909",8.32,"300,835",-96.68,-3.03,
82,삼성카드,"34,850",50,+0.14%,"5,000","40,377","115,859",8.38,"290,464",9.50,5.69,
83,F&F,"525,000",0,0.00%,500,"40,222","7,661",10.80,"36,325",N/A,N/A,
84,삼성증권,"44,450",150,-0.34%,"5,000","39,694","89,300",28.22,"203,789",5.08,9.89,
85,KODEX 200,"43,990",200,+0.46%,0,"39,525","89,850",3.90,"2,739,987",N/A,N/A,
86,녹십자,"334,500","15,500",-4.43%,"5,000","39,091","11,687",21.68,"117,734",39.04,7.48,
87,DB손해보험,"55,100",500,+0.92%,500,"39,011","70,800",43.58,"90,471",6.29,9.08,
88,대우조선해양,"35,700",250,-0.70%,"5,000","38,303","107,291",7.21,"206,618",-9.80,2.27,
89,호텔신라,"97,200","1,500",+1.57%,"5,000","38,149","39,248",20.20,"408,639",-18.40,-36.74,
90,효성티앤씨,"881,000","8,000",+0.92%,"5,000","38,127","4,328",22.97,"31,328",14.88,25.10,
91,GS건설,"43,700",150,-0.34%,"5,000","37,399","85,581",26.47,"805,416",10.51,7.68,
92,NH투자증권,"12,750",0,0.00%,"5,000","35,880","281,409",17.80,"225,805",4.77,10.32,
93,신풍제약,"67,000","28,600",-29.92%,500,"35,500","52,985",10.27,"14,559,853",779.07,1.72,
94,현대오토에버,"128,500","4,000",-3.02%,500,"35,240","27,424",1.41,"139,313",45.79,11.09,
95,현대미포조선,"87,500",200,-0.23%,"5,000","34,949","39,942",10.53,"216,161",-106.84,-0.84,
96,한국가스공사,"37,400",200,-0.53%,"5,000","34,525","92,313",6.92,"342,568",-17.59,-2.24,
97,일진머티리얼즈,"74,800",100,-0.13%,500,"34,491","46,111",9.58,"180,510",85.78,7.23,
98,한화시스템,"17,900",100,-0.56%,"5,000","33,817","188,919",3.10,"1,316,385",20.48,9.35,
99,휠라홀딩스,"55,100",400,-0.72%,"1,000","33,474","60,752",46.52,"378,663",17.58,10.94,
100,씨에스윈드,"79,300","2,700",+3.52%,500,"33,442","42,171",10.58,"784,777",63.90,8.19,
101,두산인프라코어,"14,450",0,0.00%,"5,000","33,408","231,195",9.72,0,13.75,6.47,
102,한국항공우주,"34,000",150,+0.44%,"5,000","33,142","97,475",13.61,"616,787",430.38,6.39,
103,두산퓨얼셀,"50,600",0,0.00%,100,"33,140","65,494",12.60,"479,586",285.88,4.18,
104,키움증권,"126,500","1,000",-0.78%,"5,000","33,132","26,191",23.34,"74,756",3.38,27.63,
105,메리츠증권,"4,820",100,+2.12%,"1,000","32,859","681,731",14.03,"1,449,166",5.33,13.08,
106,롯데쇼핑,"115,000","1,500",+1.32%,"5,000","32,532","28,289",10.69,"79,733",-4.32,-7.70,
107,한화생명,"3,730",15,+0.40%,"5,000","32,396","868,530",7.40,"1,636,762",6.92,1.90,
108,대우건설,"7,690",200,-2.53%,"5,000","31,961","415,623",8.92,"10,645,295",8.64,11.06,
109,에스원,"83,000",800,+0.97%,500,"31,539","37,999",54.59,"48,413",21.10,10.48,
110,CJ,"105,000",0,0.00%,"5,000","30,636","29,177",17.69,"71,084",-277.04,1.89,
111,SK케미칼,"259,500",0,0.00%,"5,000","30,495","11,751",18.20,"39,800",11.77,30.49,
112,동서,"30,300",0,0.00%,500,"30,209","99,700",3.51,"63,204",26.42,8.61,
113,만도,"64,300",400,-0.62%,"1,000","30,193","46,957",25.02,"324,343",64.88,0.37,
114,포스코인터내셔널,"24,250",850,+3.63%,"5,000","29,918","123,375",12.03,"1,708,517",11.57,7.69,
115,KCC,"333,500","5,000",-1.48%,"5,000","29,636","8,886",11.63,"40,125",3.44,12.79,
116,DL이앤씨,"153,000",500,-0.33%,"5,000","29,619","19,359",28.66,"373,045",N/A,N/A,
117,메리츠금융지주,"22,100",700,+3.27%,500,"29,616","134,011",7.88,"138,092",5.17,16.06,
118,LG화학우,"384,000","2,000",+0.52%,"5,000","29,525","7,689",66.45,"9,229",16.72,N/A,
119,BGF리테일,"169,000","2,000",+1.20%,"1,000","29,210","17,284",31.98,"47,088",23.08,18.60,
120,OCI,"121,500","1,000",-0.82%,"5,000","28,977","23,849",16.40,"208,616",-19.05,-9.89,
121,GS리테일,"37,450",250,+0.67%,"1,000","28,836","77,000",10.55,"218,291",19.24,7.50,
122,제일기획,"24,750",50,-0.20%,200,"28,473","115,041",33.71,"159,057",17.16,16.11,
123,신세계,"284,500","3,500",+1.25%,"5,000","28,010","9,845",27.86,"65,067",-87.62,-2.81,
124,현대차우,"114,500",500,+0.44%,"5,000","27,888","24,357",58.87,"20,262",13.86,N/A,
125,더존비즈온,"91,900",700,-0.76%,500,"27,883","30,341",39.49,"207,934",51.17,15.09,
126,한솔케미칼,"243,000","4,500",+1.89%,"5,000","27,545","11,335",41.96,"30,847",21.24,24.50,
127,한화에어로스페이스,"54,300",800,+1.50%,"5,000","27,492","50,630",20.78,"1,256,834",12.31,4.78,
128,DB하이텍,"61,800","1,200",+1.98%,"5,000","27,438","44,399",16.92,"773,536",17.33,23.07,
129,현대로템,"24,300",550,-2.21%,"5,000","26,522","109,142",4.34,"2,613,981",56.25,2.84,
130,현대위아,"97,000","1,300",-1.32%,"5,000","26,379","27,195",7.51,"450,394",171.38,1.96,
131,대한전선,"3,040",10,+0.33%,500,"26,037","856,473",2.61,"23,120,912",217.14,0.92,
132,하이트진로,"36,850",350,+0.96%,"5,000","25,844","70,134",6.55,"474,225",31.88,8.23,
133,대웅,"44,300","1,850",-4.01%,500,"25,757","58,142",3.98,"520,582",29.93,15.10,
134,메리츠화재,"20,900",200,+0.97%,500,"25,211","120,625",10.92,"316,703",5.29,16.91,
135,BNK금융지주,"7,700",10,+0.13%,"5,000","25,097","325,935",38.18,"691,740",4.37,6.11,
136,한샘,"106,500",0,0.00%,"1,000","25,064","23,534",22.36,"80,527",34.17,10.83,
137,KODEX 단기채권,"102,795",5,0.00%,0,"24,877","24,201",0.00,"17,717",N/A,N/A,
138,한화,"31,700",50,+0.16%,"5,000","23,762","74,959",18.27,"510,231",8.12,4.79,
139,KODEX 200선물인버스2X,"1,845",15,-0.81%,0,"23,365","1,266,400",2.54,"100,135,615",N/A,N/A,
140,현대해상,"25,850",50,+0.19%,500,"23,110","89,400",28.50,"449,653",6.25,7.13,
141,진원생명과학,"50,900",100,+0.20%,"1,000","23,001","45,189",14.90,"4,742,971",-116.48,-30.43,
142,LS,"71,100",0,0.00%,"5,000","22,894","32,200",14.79,"128,392",12.52,3.94,
143,TIGER 200,"43,990",170,+0.39%,0,"21,753","49,450",0.00,"245,774",N/A,N/A,
144,효성,"103,000",500,-0.48%,"5,000","21,703","21,071",9.59,"64,737",76.98,-2.26,
145,HDC현대산업개발,"32,850",750,+2.34%,"5,000","21,651","65,907",11.73,"1,093,270",10.46,8.85,
146,한전기술,"56,500","5,900",+11.66%,200,"21,594","38,220",2.92,"3,694,604",129.00,N/A,
147,현대엘리베이,"52,600",500,-0.94%,"5,000","21,469","40,815",28.94,"262,676",19.18,9.78,
148,코오롱인더,"79,500",400,+0.51%,"5,000","21,448","26,979",18.94,"251,783",26.34,9.70,
